"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"saphdnut  ","P",01/29/2019 10:31,0,1,1         ,1         ,"",0.0152,<0>  ,0.0135,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.013,<0>  ,1.64,<0>  ,
"saphdnut  ","P",01/29/2019 10:35,0,1,1         ,2         ,"",0.0145,<0>  ,0.013,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0103,<0>  ,1.89,<0>  ,
"saphdnut  ","P",02/26/2019 10:30,0,1,1         ,1         ,"",0.0094,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<0>  ,0.0055,<-4> [SBL] ,2.19,<0>  ,
"saphdnut  ","P",02/26/2019 10:35,0,1,1         ,2         ,"",0.0097,<0>  ,0.0109,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0079,<0>  ,2.66,<0>  ,
"saphdnut  ","P",03/19/2019 10:51,0,1,1         ,1         ,"",0.0125,<0>  ,0.0112,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0365,<0>  ,4.7,<0>  ,
"saphdnut  ","P",03/19/2019 10:57,0,1,1         ,2         ,"",0.0126,<0>  ,0.0105,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0365,<0>  ,4.57,<0>  ,
"saphdnut  ","P",04/16/2019 9:45,0,1,1         ,1         ,"",0.0109,<0>  ,0.0102,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0083,<0>  ,5.91,<0>  ,
"saphdnut  ","P",04/16/2019 9:50,0,1,1         ,2         ,"",0.0112,<0>  ,0.0205,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0123,<0>  ,5.0,<0>  ,
"saphdnut  ","P",05/29/2019 9:45,0,1,1         ,1         ,"",0.0219,<0>  ,0.0237,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0181,<0>  ,9.16,<0>  ,
"saphdnut  ","P",05/29/2019 9:50,0,1,1         ,2         ,"",0.0213,<0>  ,0.0243,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0134,<0>  ,10.4,<0>  ,
"saphdnut  ","P",06/26/2019 9:29,0,1,1         ,1         ,"",0.0285,<0>  ,0.015,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0069,<0>  ,6.68,<0>  ,
"saphdnut  ","P",06/26/2019 9:34,0,1,1         ,2         ,"",0.0283,<0>  ,0.0137,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0066,<0>  ,7.39,<0>  ,
"saphdnut  ","P",07/24/2019 9:41,0,1,1         ,1         ,"",0.0431,<0>  ,0.0182,<0>  ,0.0017,<0>  ,"",<0>  ,0.0055,<-4> [SBL] ,11.49,<0>  ,
"saphdnut  ","P",07/24/2019 9:46,0,1,1         ,2         ,"",0.0433,<0>  ,0.0235,<0>  ,0.0021,<0>  ,"",<0>  ,0.0055,<-4> [SBL] ,11.18,<0>  ,
"saphdnut  ","P",08/27/2019 9:40,0,1,1         ,1         ,"",0.0329,<0>  ,0.0312,<0>  ,0.0077,<0>  ,"",<0>  ,0.0193,<0>  ,10.44,<0>  ,
"saphdnut  ","P",08/27/2019 9:45,0,1,1         ,2         ,"",0.0331,<0>  ,0.028,<0>  ,0.0075,<0>  ,"",<0>  ,0.0176,<0>  ,9.5,<0>  ,
"saphdnut  ","P",09/23/2019 9:31,0,1,1         ,1         ,"",0.0384,<0>  ,0.0291,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0139,<0>  ,8.09,<0>  ,
"saphdnut  ","P",09/23/2019 9:35,0,1,1         ,2         ,"",0.0383,<0>  ,0.0302,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0092,<0>  ,7.47,<0>  ,
"saphdnut  ","P",10/22/2019 9:26,0,1,1         ,1         ,"",0.0378,<0>  ,0.0764,<0>  ,0.0026,<0>  ,"",<0>  ,0.0164,<0>  ,2.8,<0>  ,
"saphdnut  ","P",10/22/2019 9:29,0,1,1         ,2         ,"",0.0368,<0>  ,0.07,<0>  ,0.0027,<0>  ,"",<0>  ,0.019,<0>  ,2.52,<0>  ,
"saphdnut  ","P",11/19/2019 10:10,0,1,1         ,1         ,"",0.0299,<0>  ,0.0288,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0055,<-4> [SBL] ,3.81,<0>  ,
"saphdnut  ","P",11/19/2019 10:15,0,1,1         ,2         ,"",0.0281,<0>  ,0.0229,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0055,<-4> [SBL] ,4.09,<0>  ,
"saphdnut  ","P",12/19/2019 10:26,0,1,1         ,1         ,"",0.0267,<0>  ,0.014,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0155,<0>  ,5.89,<0>  ,
"saphdnut  ","P",12/19/2019 10:31,0,1,1         ,2         ,"",0.0274,<0>  ,0.0144,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0161,<0>  ,6.67,<0>  ,

